Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene stable ID	HGNC symbol	HGNC ID	Gene type
1	11121	24894	ENSG00000290825			lncRNA
1	12010	13670	ENSG00000223972	DDX11L1	HGNC:37102	transcribed_unprocessed_pseudogene
1	14356	30744	ENSG00000310526	WASH7P	HGNC:38034	lncRNA
1	14696	24886	ENSG00000227232	WASH7P	HGNC:38034	transcribed_unprocessed_pseudogene
1	17369	17436	ENSG00000278267	MIR6859-1	HGNC:50039	miRNA
1	28589	31109	ENSG00000243485	MIR1302-2HG	HGNC:52482	lncRNA
1	30366	30503	ENSG00000284332	MIR1302-2	HGNC:35294	miRNA
1	34553	37595	ENSG00000237613	FAM138A	HGNC:32334	lncRNA
1	36526	40778	ENSG00000308361			lncRNA
1	51891	64116	ENSG00000290826			lncRNA
1	52473	53312	ENSG00000268020	OR4G4P	HGNC:14822	transcribed_unprocessed_pseudogene
1	62949	63887	ENSG00000240361	OR4G11P	HGNC:31276	transcribed_unprocessed_pseudogene
1	65419	71585	ENSG00000186092	OR4F5	HGNC:14825	protein_coding
1	89295	181719	ENSG00000241860			lncRNA
1	89551	91105	ENSG00000239945			lncRNA
1	96638	105742	ENSG00000308314			lncRNA
1	131025	134836	ENSG00000233750	CICP27	HGNC:48835	processed_pseudogene
1	134914	136246	ENSG00000308579			lncRNA
1	135141	135895	ENSG00000268903			transcribed_processed_pseudogene
1	137682	137965	ENSG00000269981			transcribed_processed_pseudogene
1	139790	140339	ENSG00000239906			lncRNA
1	146386	199861	ENSG00000310528			lncRNA
1	157784	157887	ENSG00000222623	RNU6-1100P	HGNC:48063	snRNA
1	160446	161525	ENSG00000241599			lncRNA
1	180931	184937	ENSG00000308415			lncRNA
1	182146	201244	ENSG00000310527			lncRNA
1	182696	184174	ENSG00000279928	DDX11L17	HGNC:55080	transcribed_unprocessed_pseudogene
1	185217	195411	ENSG00000279457	WASH9P	HGNC:53981	transcribed_unprocessed_pseudogene
1	187891	187958	ENSG00000273874	MIR6859-2	HGNC:49954	miRNA
1	199108	199882	ENSG00000308625			lncRNA
1	199948	201629	ENSG00000308544			lncRNA
1	257864	359681	ENSG00000292994			lncRNA
1	258568	259024	ENSG00000228463			transcribed_processed_pseudogene
1	258696	266103	ENSG00000306775			lncRNA
1	266753	284291	ENSG00000286448			lncRNA
1	347982	348366	ENSG00000236679	RPL23AP24	HGNC:36176	transcribed_processed_pseudogene
1	356138	366052	ENSG00000236601			lncRNA
1	365127	532459	ENSG00000290385			lncRNA
1	439870	440232	ENSG00000269732	WBP1LP7	HGNC:43955	processed_pseudogene
1	450740	451678	ENSG00000284733	OR4F29	HGNC:31275	protein_coding
1	485026	485208	ENSG00000237094			transcribed_unprocessed_pseudogene
1	487101	489906	ENSG00000233653	CICP7	HGNC:37756	transcribed_processed_pseudogene
1	491225	493241	ENSG00000250575			unprocessed_pseudogene
1	516376	516479	ENSG00000278757			snRNA
1	586054	633129	ENSG00000293331			lncRNA
1	586945	827989	ENSG00000225880	LINC00115	HGNC:26211	lncRNA
1	587577	595116	ENSG00000235146			lncRNA
1	629062	629433	ENSG00000225972	MTND1P23	HGNC:42092	unprocessed_pseudogene
1	629640	630683	ENSG00000225630	MTND2P28	HGNC:42129	unprocessed_pseudogene
1	631074	632616	ENSG00000237973	MTCO1P12	HGNC:52014	unprocessed_pseudogene
